item_id,order_id,item_name,cuisine_type,unit_price,quantity
76,100031,Kimbap,Korean,58000.0,1
77,100032,Boba Tea,Dessert & Drinks,46000.0,3
78,100033,Falafel,Middle Eastern,57000.0,1
79,100033,Shawarma,Middle Eastern,57000.0,1
80,100034,Kimchi Jjigae,Korean,22000.0,1
81,100034,Japchae,Korean,50000.0,1
82,100034,Korean BBQ,Korean,60000.0,1
83,100035,Sundubu Jjigae,Korean,39000.0,1
84,100035,Bulgogi,Korean,36000.0,1
85,100036,Noodle Soup,Chinese,74000.0,2
86,100036,Fried Rice,Chinese,53000.0,3
87,100036,Dim Sum,Chinese,70000.0,1
88,100037,Sundubu Jjigae,Korean,19000.0,2
89,100037,Japchae,Korean,28000.0,2
90,100037,Tteokbokki,Korean,38000.0,1
91,100038,Bulgogi,Korean,47000.0,2
92,100038,Kimchi Jjigae,Korean,18000.0,3
93,100039,Bakso,Indonesian,32000.0,3
94,100039,Nasi Goreng,Indonesian,25000.0,2
95,100039,Nasi Padang,Indonesian,74000.0,2
96,100039,Gado-Gado,Indonesian,74000.0,1
97,100040,Kimchi Jjigae,Korean,65000.0,1
98,100040,Sundubu Jjigae,Korean,27000.0,3
99,100040,Kimbap,Korean,57000.0,1
100,100040,Japchae,Korean,64000.0,3
101,100041,Bulgogi,Korean,70000.0,3
102,100041,Tteokbokki,Korean,51000.0,1
103,100041,Korean BBQ,Korean,60000.0,2
104,100041,Kimbap,Korean,68000.0,2
105,100042,Dim Sum,Chinese,55000.0,1
106,100043,Ice Cream,Dessert & Drinks,50000.0,3
107,100043,Crepes,Dessert & Drinks,65000.0,3
108,100043,Churros,Dessert & Drinks,68000.0,2
109,100044,Dal Tadka,Indian,59000.0,3
110,100044,Tandoori Chicken,Indian,31000.0,1
111,100045,Fish & Chips,Western,65000.0,3
112,100045,Steak,Western,20000.0,2
113,100045,Grilled Chicken,Western,52000.0,2
114,100046,Noodle Soup,Chinese,42000.0,2
115,100047,Sushi Set,Japanese,16000.0,2
116,100047,Udon,Japanese,68000.0,2
117,100047,Takoyaki,Japanese,50000.0,2
118,100047,Tempura,Japanese,68000.0,2
119,100048,Onigiri,Japanese,35000.0,1
120,100048,Ramen,Japanese,40000.0,2
121,100049,Lamb Chops,Middle Eastern,23000.0,2
122,100049,Fattoush,Middle Eastern,43000.0,3
123,100050,Peking Duck,Chinese,32000.0,2
124,100050,Noodle Soup,Chinese,28000.0,2
125,100050,Chop Suey,Chinese,43000.0,3
126,100051,Wonton Soup,Chinese,61000.0,2
127,100051,Spring Roll,Chinese,21000.0,2
128,100052,Fattoush,Middle Eastern,63000.0,1
129,100052,Falafel,Middle Eastern,35000.0,3
130,100052,Hummus Plate,Middle Eastern,22000.0,2
131,100052,Lamb Chops,Middle Eastern,37000.0,3
132,100053,Fattoush,Middle Eastern,68000.0,3
133,100054,Churros,Dessert & Drinks,28000.0,1
134,100054,Ice Cream,Dessert & Drinks,72000.0,2
135,100054,Cheesecake,Dessert & Drinks,84000.0,3
136,100055,Kimchi Jjigae,Korean,26000.0,3
137,100055,Bulgogi,Korean,22000.0,3
138,100055,Japchae,Korean,30000.0,1
139,100056,Dumplings,Chinese,30000.0,1
140,100057,BBQ Ribs,Western,57000.0,2
141,100057,Grilled Chicken,Western,54000.0,1
142,100057,Burger,Western,76000.0,3
143,100057,Steak,Western,25000.0,3
144,100058,Shawarma,Middle Eastern,61000.0,3
145,100058,Mezze Platter,Middle Eastern,58000.0,3
146,100058,Hummus Plate,Middle Eastern,79000.0,1
147,100058,Lamb Chops,Middle Eastern,82000.0,2
148,100059,Tempura,Japanese,75000.0,1
149,100059,Sushi Set,Japanese,31000.0,1
150,100059,Udon,Japanese,22000.0,3
151,100060,Kimbap,Korean,61000.0,2
152,100061,Mie Goreng,Indonesian,20000.0,1
153,100062,Cheesecake,Dessert & Drinks,18000.0,2
154,100062,Boba Tea,Dessert & Drinks,49000.0,2
155,100062,Crepes,Dessert & Drinks,30000.0,3
156,100062,Churros,Dessert & Drinks,56000.0,1
157,100063,Sushi Set,Japanese,33000.0,2
158,100063,Tempura,Japanese,67000.0,2
159,100064,BBQ Ribs,Western,36000.0,1
160,100064,Grilled Chicken,Western,85000.0,2
161,100065,Onigiri,Japanese,56000.0,1
162,100065,Udon,Japanese,66000.0,1
163,100065,Tempura,Japanese,27000.0,2
164,100065,Ramen,Japanese,22000.0,3
165,100066,Spring Roll,Chinese,23000.0,1
166,100067,Bakso,Indonesian,73000.0,2
167,100067,Rendang,Indonesian,32000.0,3
168,100068,Chop Suey,Chinese,36000.0,1
169,100069,Dumplings,Chinese,63000.0,3
170,100069,Wonton Soup,Chinese,34000.0,1
171,100069,Spring Roll,Chinese,18000.0,3
172,100069,Fried Rice,Chinese,79000.0,2
173,100070,Onigiri,Japanese,77000.0,3
174,100070,Takoyaki,Japanese,68000.0,3
175,100070,Tempura,Japanese,50000.0,2
176,100070,Sushi Set,Japanese,42000.0,3
177,100071,Samosa,Indian,63000.0,2
178,100071,Biryani,Indian,70000.0,2
179,100072,Boba Tea,Dessert & Drinks,56000.0,1
180,100072,Ice Cream,Dessert & Drinks,48000.0,3
181,100072,Churros,Dessert & Drinks,53000.0,1
182,100073,Peking Duck,Chinese,81000.0,2
183,100073,Spring Roll,Chinese,48000.0,3
184,100074,Pasta,Western,21000.0,3
185,100074,Fish & Chips,Western,70000.0,3
186,100074,Burger,Western,26000.0,3
187,100075,Takoyaki,Japanese,39000.0,3
188,100076,Sundubu Jjigae,Korean,18000.0,3
189,100077,Fattoush,Middle Eastern,24000.0,3
190,100077,Manakish,Middle Eastern,83000.0,1
191,100077,Shawarma,Middle Eastern,23000.0,1
192,100078,Noodle Soup,Chinese,47000.0,3
193,100078,Chop Suey,Chinese,77000.0,1
194,100078,Peking Duck,Chinese,39000.0,3
195,100079,Manakish,Middle Eastern,29000.0,2
196,100079,Mezze Platter,Middle Eastern,49000.0,3
197,100079,Kebab,Middle Eastern,71000.0,2
198,100079,Falafel,Middle Eastern,68000.0,2
199,100080,Steak,Western,17000.0,2
200,100080,BBQ Ribs,Western,80000.0,1
201,100081,Gyudon,Japanese,44000.0,2
202,100081,Ramen,Japanese,47000.0,2
203,100082,Caesar Salad,Western,84000.0,3
204,100082,Pasta,Western,80000.0,2
205,100082,Burger,Western,55000.0,3
206,100082,Club Sandwich,Western,78000.0,2
207,100083,Shawarma,Middle Eastern,71000.0,1
208,100084,Japchae,Korean,64000.0,1
209,100084,Bulgogi,Korean,28000.0,1
210,100085,Crepes,Dessert & Drinks,18000.0,1
211,100085,Milkshake,Dessert & Drinks,44000.0,2
212,100086,Waffle,Dessert & Drinks,71000.0,2
213,100086,Ice Cream,Dessert & Drinks,49000.0,2
214,100086,Milkshake,Dessert & Drinks,59000.0,2
215,100087,Udon,Japanese,54000.0,2
216,100087,Gyudon,Japanese,46000.0,3
217,100088,Biryani,Indian,31000.0,3
218,100089,Onigiri,Japanese,42000.0,3
219,100089,Udon,Japanese,68000.0,1
220,100089,Takoyaki,Japanese,38000.0,2
221,100090,Gado-Gado,Indonesian,23000.0,3
222,100091,Boba Tea,Dessert & Drinks,53000.0,3
223,100091,Matcha Latte,Dessert & Drinks,48000.0,2
224,100091,Milkshake,Dessert & Drinks,46000.0,2
225,100091,Waffle,Dessert & Drinks,45000.0,3
226,100092,Crepes,Dessert & Drinks,77000.0,1
227,100092,Ice Cream,Dessert & Drinks,35000.0,1
228,100092,Cheesecake,Dessert & Drinks,32000.0,1
229,100092,Milkshake,Dessert & Drinks,45000.0,2
230,100093,Masala Chai,Indian,68000.0,3
231,100094,Mezze Platter,Middle Eastern,25000.0,1
232,100094,Kebab,Middle Eastern,78000.0,1
233,100095,BBQ Ribs,Western,70000.0,3
234,100095,Caesar Salad,Western,67000.0,3
235,100095,Club Sandwich,Western,20000.0,3
236,100095,Burger,Western,80000.0,1
237,100096,Tandoori Chicken,Indian,80000.0,1
238,100096,Dal Tadka,Indian,60000.0,3
239,100097,Peking Duck,Chinese,25000.0,2
240,100097,Noodle Soup,Chinese,18000.0,1
241,100097,Wonton Soup,Chinese,56000.0,1
242,100098,Dim Sum,Chinese,30000.0,2
243,100099,Ayam Geprek,Indonesian,60000.0,2
244,100099,Gado-Gado,Indonesian,29000.0,2
245,100099,Mie Goreng,Indonesian,74000.0,2
246,100099,Soto Ayam,Indonesian,34000.0,2
247,100100,Shawarma,Middle Eastern,27000.0,3
248,100100,Falafel,Middle Eastern,23000.0,2
249,100100,Hummus Plate,Middle Eastern,30000.0,1
250,100100,Lamb Chops,Middle Eastern,44000.0,1
251,100101,Udon,Japanese,84000.0,2
252,100101,Ramen,Japanese,17000.0,2
253,100101,Gyudon,Japanese,70000.0,1
254,100102,Peking Duck,Chinese,51000.0,3
255,100103,Rendang,Indonesian,36000.0,1
256,100103,Gado-Gado,Indonesian,17000.0,3
257,100103,Bakso,Indonesian,48000.0,1
258,100104,Japchae,Korean,22000.0,1
259,100104,Sundubu Jjigae,Korean,47000.0,3
260,100104,Tteokbokki,Korean,65000.0,2
261,100104,Bibimbap,Korean,53000.0,1
262,100105,Soto Ayam,Indonesian,81000.0,2
263,100105,Rendang,Indonesian,22000.0,1
264,100105,Mie Goreng,Indonesian,69000.0,1
265,100105,Nasi Goreng,Indonesian,78000.0,2
266,100106,Caesar Salad,Western,57000.0,1
267,100106,Fish & Chips,Western,51000.0,1
268,100106,BBQ Ribs,Western,56000.0,3
269,100107,Dumplings,Chinese,78000.0,3
270,100107,Chop Suey,Chinese,74000.0,1
271,100107,Noodle Soup,Chinese,73000.0,2
272,100108,Chop Suey,Chinese,34000.0,2
273,100108,Spring Roll,Chinese,32000.0,1
274,100108,Dim Sum,Chinese,63000.0,1
275,100108,Peking Duck,Chinese,43000.0,1
276,100109,Tteokbokki,Korean,38000.0,1
277,100109,Kimchi Jjigae,Korean,83000.0,2
278,100110,Bulgogi,Korean,29000.0,3
279,100110,Kimchi Jjigae,Korean,18000.0,3
280,100111,Pasta,Western,46000.0,3
281,100111,Caesar Salad,Western,55000.0,1
282,100111,Grilled Chicken,Western,20000.0,2
283,100111,Club Sandwich,Western,38000.0,1
284,100112,Sundubu Jjigae,Korean,29000.0,1
285,100112,Bibimbap,Korean,83000.0,2
286,100113,Udon,Japanese,50000.0,3
287,100113,Ramen,Japanese,27000.0,1
288,100114,Kimchi Jjigae,Korean,73000.0,2
289,100114,Sundubu Jjigae,Korean,40000.0,1
290,100114,Japchae,Korean,52000.0,1
291,100114,Bulgogi,Korean,64000.0,1
292,100115,Ayam Geprek,Indonesian,20000.0,1
293,100115,Gado-Gado,Indonesian,27000.0,2
294,100115,Mie Goreng,Indonesian,74000.0,2
295,100116,Palak Paneer,Indian,40000.0,2
296,100116,Masala Chai,Indian,56000.0,2
297,100117,Kimchi Jjigae,Korean,52000.0,2
298,100117,Kimbap,Korean,31000.0,3
299,100118,Gado-Gado,Indonesian,43000.0,2
300,100118,Nasi Goreng,Indonesian,48000.0,1
301,100118,Bakso,Indonesian,49000.0,3
302,100119,Nasi Goreng,Indonesian,16000.0,1
303,100119,Soto Ayam,Indonesian,37000.0,2
304,100119,Mie Goreng,Indonesian,49000.0,2
305,100119,Nasi Padang,Indonesian,39000.0,2
306,100120,Matcha Latte,Dessert & Drinks,72000.0,3
307,100121,Bakso,Indonesian,78000.0,2
308,100122,Caesar Salad,Western,74000.0,1
309,100122,Club Sandwich,Western,84000.0,2
310,100122,Steak,Western,33000.0,2
311,100122,BBQ Ribs,Western,82000.0,3
312,100123,Falafel,Middle Eastern,35000.0,3
313,100123,Hummus Plate,Middle Eastern,60000.0,2
314,100123,Shawarma,Middle Eastern,81000.0,3
315,100123,Lamb Chops,Middle Eastern,51000.0,3
316,100124,Lamb Chops,Middle Eastern,85000.0,3
317,100125,Onigiri,Japanese,49000.0,1
318,100125,Sushi Set,Japanese,81000.0,3
319,100125,Tempura,Japanese,28000.0,3
320,100126,Caesar Salad,Western,84000.0,1
321,100126,Pasta,Western,77000.0,2
322,100126,Club Sandwich,Western,50000.0,3
323,100126,Fish & Chips,Western,36000.0,3
324,100127,Ayam Geprek,Indonesian,42000.0,2
325,100127,Nasi Goreng,Indonesian,71000.0,1
326,100128,Nasi Goreng,Indonesian,54000.0,1
327,100128,Bakso,Indonesian,36000.0,3
328,100129,Bakso,Indonesian,40000.0,2
329,100129,Mie Goreng,Indonesian,22000.0,3
330,100130,Biryani,Indian,45000.0,1
331,100130,Dal Tadka,Indian,21000.0,1
332,100131,Fish & Chips,Western,36000.0,2
333,100131,Club Sandwich,Western,28000.0,2
334,100131,Grilled Chicken,Western,16000.0,1
335,100132,Udon,Japanese,24000.0,2
336,100132,Katsu Curry,Japanese,43000.0,2
337,100133,Butter Chicken,Indian,83000.0,3
338,100134,Kebab,Middle Eastern,19000.0,3
339,100134,Shawarma,Middle Eastern,63000.0,2
340,100134,Manakish,Middle Eastern,34000.0,2
341,100134,Fattoush,Middle Eastern,15000.0,1
342,100135,Fish & Chips,Western,36000.0,1
343,100135,Steak,Western,68000.0,2
344,100135,Grilled Chicken,Western,67000.0,2
345,100135,Caesar Salad,Western,65000.0,2
346,100136,Sushi Set,Japanese,58000.0,3
347,100136,Onigiri,Japanese,33000.0,1
348,100136,Katsu Curry,Japanese,54000.0,2
349,100136,Udon,Japanese,33000.0,1
350,100137,Kimbap,Korean,77000.0,2
351,100138,Japchae,Korean,34000.0,1
352,100138,Bulgogi,Korean,30000.0,2
353,100138,Bibimbap,Korean,81000.0,1
354,100139,Club Sandwich,Western,25000.0,3
355,100139,Caesar Salad,Western,49000.0,1
356,100139,Fish & Chips,Western,28000.0,3
357,100140,Fattoush,Middle Eastern,66000.0,3
358,100140,Falafel,Middle Eastern,68000.0,3
359,100141,Takoyaki,Japanese,18000.0,1
360,100141,Tempura,Japanese,27000.0,2
361,100141,Gyudon,Japanese,79000.0,3
362,100142,Nasi Goreng,Indonesian,63000.0,3
363,100142,Soto Ayam,Indonesian,74000.0,2
364,100143,Tandoori Chicken,Indian,68000.0,2
365,100143,Butter Chicken,Indian,41000.0,3
366,100143,Palak Paneer,Indian,27000.0,3
367,100143,Masala Chai,Indian,78000.0,3
368,100144,Soto Ayam,Indonesian,56000.0,2
369,100144,Nasi Padang,Indonesian,19000.0,2
370,100144,Gado-Gado,Indonesian,55000.0,2
371,100144,Mie Goreng,Indonesian,49000.0,2
372,100145,Waffle,Dessert & Drinks,24000.0,1
373,100145,Churros,Dessert & Drinks,38000.0,1
374,100146,Noodle Soup,Chinese,70000.0,3
375,100147,Onigiri,Japanese,60000.0,2
376,100147,Takoyaki,Japanese,69000.0,2
377,100147,Katsu Curry,Japanese,46000.0,2
378,100147,Ramen,Japanese,66000.0,3
379,100148,Nasi Goreng,Indonesian,18000.0,1
380,100149,Onigiri,Japanese,19000.0,2
381,100150,Tempura,Japanese,27000.0,2
382,100150,Sushi Set,Japanese,41000.0,1
383,100150,Takoyaki,Japanese,33000.0,2
384,100150,Ramen,Japanese,63000.0,3
385,100151,Sushi Set,Japanese,38000.0,3
386,100152,Falafel,Middle Eastern,28000.0,1
387,100152,Manakish,Middle Eastern,71000.0,1
388,100152,Kebab,Middle Eastern,37000.0,2
389,100152,Fattoush,Middle Eastern,69000.0,3
390,100153,Biryani,Indian,62000.0,1
391,100153,Dal Tadka,Indian,60000.0,2
392,100153,Samosa,Indian,37000.0,2
393,100153,Butter Chicken,Indian,80000.0,1
394,100154,Nasi Goreng,Indonesian,37000.0,2
395,100154,Bakso,Indonesian,17000.0,2
396,100154,Gado-Gado,Indonesian,31000.0,3
397,100154,Rendang,Indonesian,54000.0,3
398,100155,Nasi Goreng,Indonesian,38000.0,1
399,100155,Bakso,Indonesian,34000.0,1
400,100155,Soto Ayam,Indonesian,17000.0,2
401,100156,Spring Roll,Chinese,75000.0,2
402,100157,Pasta,Western,28000.0,1
403,100157,BBQ Ribs,Western,72000.0,1
404,100157,Burger,Western,37000.0,2
405,100158,Japchae,Korean,77000.0,3
406,100158,Bulgogi,Korean,59000.0,3
407,100159,Ramen,Japanese,73000.0,1
408,100159,Sushi Set,Japanese,24000.0,2
409,100159,Katsu Curry,Japanese,71000.0,2
410,100159,Udon,Japanese,49000.0,3
411,100160,Gado-Gado,Indonesian,48000.0,1
412,100160,Ayam Geprek,Indonesian,67000.0,2
413,100161,Waffle,Dessert & Drinks,67000.0,1
414,100161,Boba Tea,Dessert & Drinks,71000.0,3
415,100162,Caesar Salad,Western,20000.0,1
416,100162,Grilled Chicken,Western,37000.0,2
417,100163,Hummus Plate,Middle Eastern,80000.0,3
418,100164,Wonton Soup,Chinese,27000.0,2
419,100164,Noodle Soup,Chinese,28000.0,2
420,100164,Fried Rice,Chinese,77000.0,2
421,100165,Katsu Curry,Japanese,53000.0,1
422,100165,Takoyaki,Japanese,24000.0,1
423,100166,Spring Roll,Chinese,40000.0,1
424,100166,Chop Suey,Chinese,69000.0,2
425,100166,Dim Sum,Chinese,67000.0,2
426,100167,Gado-Gado,Indonesian,43000.0,1
427,100167,Ayam Geprek,Indonesian,21000.0,2
428,100167,Mie Goreng,Indonesian,74000.0,2
429,100168,Nasi Goreng,Indonesian,36000.0,3
430,100168,Nasi Padang,Indonesian,25000.0,1
431,100168,Rendang,Indonesian,64000.0,1
432,100169,Ramen,Japanese,16000.0,1
433,100170,Nasi Padang,Indonesian,67000.0,2
434,100170,Ayam Geprek,Indonesian,31000.0,3
435,100170,Gado-Gado,Indonesian,76000.0,1
436,100170,Nasi Goreng,Indonesian,81000.0,3
437,100171,Wonton Soup,Chinese,79000.0,3
438,100171,Noodle Soup,Chinese,60000.0,1
439,100171,Chop Suey,Chinese,43000.0,2
440,100172,Fried Rice,Chinese,38000.0,3
441,100173,Bulgogi,Korean,18000.0,2
442,100173,Tteokbokki,Korean,72000.0,2
443,100173,Kimchi Jjigae,Korean,19000.0,1
444,100173,Bibimbap,Korean,56000.0,1
445,100174,Grilled Chicken,Western,45000.0,1
446,100174,Burger,Western,41000.0,1
447,100174,Caesar Salad,Western,66000.0,1
448,100174,Fish & Chips,Western,21000.0,3
449,100175,Fried Rice,Chinese,20000.0,2
450,100175,Noodle Soup,Chinese,56000.0,1
451,100175,Spring Roll,Chinese,46000.0,2
452,100176,Matcha Latte,Dessert & Drinks,48000.0,3
453,100177,Tempura,Japanese,25000.0,2
454,100177,Katsu Curry,Japanese,80000.0,3
455,100178,Gyudon,Japanese,47000.0,3
456,100178,Katsu Curry,Japanese,64000.0,3
457,100179,Boba Tea,Dessert & Drinks,75000.0,3
458,100179,Churros,Dessert & Drinks,26000.0,2
459,100180,Fried Rice,Chinese,33000.0,2
460,100180,Spring Roll,Chinese,56000.0,3
461,100181,Nasi Goreng,Indonesian,84000.0,3
462,100181,Ayam Geprek,Indonesian,38000.0,1
463,100181,Mie Goreng,Indonesian,72000.0,2
464,100182,Falafel,Middle Eastern,81000.0,3
465,100182,Hummus Plate,Middle Eastern,47000.0,2
466,100183,Ramen,Japanese,62000.0,2
467,100183,Udon,Japanese,64000.0,2
468,100183,Takoyaki,Japanese,64000.0,1
469,100184,Waffle,Dessert & Drinks,24000.0,1
470,100185,Pasta,Western,42000.0,3
471,100186,Hummus Plate,Middle Eastern,71000.0,2
472,100186,Manakish,Middle Eastern,53000.0,1
473,100186,Shawarma,Middle Eastern,18000.0,1
474,100186,Fattoush,Middle Eastern,43000.0,3
475,100187,Peking Duck,Chinese,62000.0,1
476,100187,Chop Suey,Chinese,44000.0,1
477,100187,Spring Roll,Chinese,43000.0,1
478,100187,Dumplings,Chinese,25000.0,3
479,100188,Butter Chicken,Indian,21000.0,3
480,100188,Naan,Indian,23000.0,1
481,100188,Samosa,Indian,47000.0,3
482,100188,Palak Paneer,Indian,36000.0,3
483,100189,Kimbap,Korean,78000.0,2
484,100189,Bulgogi,Korean,25000.0,1
485,100190,Lamb Chops,Middle Eastern,41000.0,1
486,100190,Mezze Platter,Middle Eastern,64000.0,1
487,100190,Shawarma,Middle Eastern,39000.0,1
488,100191,Chop Suey,Chinese,49000.0,1
489,100192,Tandoori Chicken,Indian,73000.0,1
490,100193,Waffle,Dessert & Drinks,17000.0,1
491,100193,Churros,Dessert & Drinks,44000.0,1
492,100194,Dumplings,Chinese,29000.0,1
493,100194,Fried Rice,Chinese,24000.0,2
494,100194,Noodle Soup,Chinese,56000.0,2
495,100194,Peking Duck,Chinese,76000.0,1
496,100195,Ramen,Japanese,25000.0,1
497,100196,Tandoori Chicken,Indian,57000.0,2
498,100196,Dal Tadka,Indian,15000.0,1
499,100196,Samosa,Indian,15000.0,1
500,100197,Grilled Chicken,Western,71000.0,2
501,100197,Club Sandwich,Western,47000.0,2
502,100197,Fish & Chips,Western,82000.0,3
503,100197,Pasta,Western,23000.0,1
504,100198,Kebab,Middle Eastern,79000.0,2
505,100198,Manakish,Middle Eastern,47000.0,3
506,100198,Hummus Plate,Middle Eastern,79000.0,3
507,100199,Sushi Set,Japanese,31000.0,3
508,100199,Onigiri,Japanese,64000.0,2
509,100200,Caesar Salad,Western,56000.0,1
510,100200,Grilled Chicken,Western,45000.0,1
511,100201,Fish & Chips,Western,55000.0,1
512,100201,Grilled Chicken,Western,56000.0,1
513,100201,Club Sandwich,Western,76000.0,2
514,100201,Caesar Salad,Western,71000.0,2
515,100202,Steak,Western,45000.0,3
516,100202,Grilled Chicken,Western,64000.0,2
517,100202,Fish & Chips,Western,47000.0,3
518,100203,Club Sandwich,Western,85000.0,2
519,100203,Pasta,Western,39000.0,3
520,100203,Fish & Chips,Western,17000.0,3
521,100204,Kimchi Jjigae,Korean,39000.0,1
522,100205,Korean BBQ,Korean,66000.0,3
523,100205,Bulgogi,Korean,31000.0,2
524,100206,Crepes,Dessert & Drinks,29000.0,3
525,100206,Boba Tea,Dessert & Drinks,32000.0,2
526,100206,Milkshake,Dessert & Drinks,41000.0,3
527,100207,Biryani,Indian,31000.0,1
528,100207,Butter Chicken,Indian,53000.0,3
529,100208,Fish & Chips,Western,28000.0,1
530,100209,Crepes,Dessert & Drinks,74000.0,1
531,100209,Cheesecake,Dessert & Drinks,37000.0,2
532,100209,Waffle,Dessert & Drinks,83000.0,3
533,100209,Churros,Dessert & Drinks,57000.0,2
534,100210,Bulgogi,Korean,56000.0,3
535,100210,Sundubu Jjigae,Korean,61000.0,3
536,100210,Kimchi Jjigae,Korean,77000.0,2
537,100210,Bibimbap,Korean,53000.0,3
538,100211,Boba Tea,Dessert & Drinks,83000.0,1
539,100211,Milkshake,Dessert & Drinks,59000.0,3
540,100211,Waffle,Dessert & Drinks,71000.0,3
541,100212,Crepes,Dessert & Drinks,66000.0,2
542,100212,Matcha Latte,Dessert & Drinks,32000.0,2
543,100213,Crepes,Dessert & Drinks,23000.0,2
544,100213,Matcha Latte,Dessert & Drinks,67000.0,3
545,100213,Waffle,Dessert & Drinks,57000.0,1
546,100213,Churros,Dessert & Drinks,25000.0,1
547,100214,Pasta,Western,30000.0,3
548,100215,Falafel,Middle Eastern,49000.0,2
549,100216,Masala Chai,Indian,17000.0,3
550,100217,Rendang,Indonesian,51000.0,1
551,100217,Gado-Gado,Indonesian,28000.0,2
552,100217,Ayam Geprek,Indonesian,44000.0,3
553,100217,Mie Goreng,Indonesian,48000.0,3
554,100218,Lamb Chops,Middle Eastern,34000.0,3
555,100218,Hummus Plate,Middle Eastern,64000.0,2
556,100218,Manakish,Middle Eastern,41000.0,1
557,100219,Fish & Chips,Western,78000.0,1
558,100219,Steak,Western,28000.0,1
559,100220,Falafel,Middle Eastern,42000.0,2
560,100221,Nasi Padang,Indonesian,44000.0,3
561,100221,Gado-Gado,Indonesian,42000.0,2
562,100221,Soto Ayam,Indonesian,66000.0,3
563,100222,Fried Rice,Chinese,53000.0,2
564,100222,Noodle Soup,Chinese,79000.0,3
565,100222,Peking Duck,Chinese,29000.0,2
566,100222,Dim Sum,Chinese,28000.0,1
567,100223,Matcha Latte,Dessert & Drinks,70000.0,2
568,100223,Waffle,Dessert & Drinks,32000.0,2
